,PlayerID,Player_Name,Age,Height,MaxRank,Hand,Country,First_Serve_%,First_Serve_Win_%,win_count,lose_count,Win%
98,104655,Pablo Cuevas,30.6201232033,180.0,19.0,R,URU,0.5636363636363636,0.7580645161290323,238.0,217.0,1.1
99,105614,Bradley Klahn,23.5728952772,190.0,63.0,L,USA,0.5833333333333334,0.8,13.0,41.0,0.32
100,106043,Diego Schwartzman,28.1752224504,170.0,9.0,R,ARG,0.6444444444444445,0.8275862068965517,206.0,165.0,1.25
101,126774,Stefanos Tsitsipas,23.2032854209,193.0,3.0,R,GRE,0.6081081081081081,0.8222222222222222,189.0,95.0,1.99
102,105819,Guido Andreozzi,27.5017111567,,70.0,R,ARG,0.6451612903225806,0.65,11.0,25.0,0.44
103,105373,Martin Klizan,26.6173853525,190.0,25.0,L,SVK,0.5875,0.723404255319149,147.0,156.0,0.94
104,105023,Sam Querrey,30.3901437372,198.0,11.0,R,USA,0.5161290322580645,0.6666666666666666,383.0,319.0,1.2
105,124187,Reilly Opelka,24.1013004791,211.0,20.0,R,USA,0.5471698113207547,0.896551724137931,68.0,68.0,1.0
106,105051,Matthew Ebden,30.9048596851,188.0,39.0,R,AUS,0.5540540540540541,0.7804878048780488,79.0,127.0,0.62
107,106298,Lucas Pouille,24.1040383299,185.0,11.0,R,FRA,0.5299145299145299,0.7903225806451613,137.0,122.0,1.12
108,126207,Frances Tiafoe,21.0595482546,188.0,29.0,R,USA,0.625,0.8285714285714286,102.0,117.0,0.87
109,104745,Rafael Nadal,33.440109514,185.0,1.0,L,ESP,0.6448598130841121,0.7246376811594203,1036.0,214.0,4.84
110,103819,Roger Federer,36.5722108145,185.0,1.0,R,SUI,0.6463414634146342,0.7358490566037735,1259.0,280.0,4.5
111,100644,Alexander Zverev,21.8507871321,198.0,3.0,R,GER,0.6197183098591549,0.7727272727272727,305.0,139.0,2.19
112,105227,Marin Cilic,29.3935660507,198.0,3.0,R,CRO,0.5,0.8888888888888888,551.0,309.0,1.78
113,106432,Borna Coric,22.1656399726,188.0,12.0,R,CRO,0.6518518518518519,0.8295454545454546,169.0,145.0,1.17
114,105936,Filip Krajinovic,28.5092402464,185.0,26.0,R,SRB,0.673469387755102,0.7727272727272727,103.0,103.0,1.0
115,104792,Gael Monfils,30.2039698836,193.0,6.0,R,FRA,0.5686274509803921,0.8620689655172413,513.0,301.0,1.7
116,106283,Mitchell Krueger,27.5537303217,,174.0,R,USA,0.6470588235294118,0.8181818181818182,3.0,11.0,0.27
117,105554,Daniel Evans,31.3675564682,175.0,22.0,R,GBR,0.6122448979591837,0.8,98.0,105.0,0.93
118,111794,Kamil Majchrzak,23.7508555784,,91.0,R,POL,0.6153846153846154,0.6875,13.0,25.0,0.52
119,104678,Viktor Troicki,25.3169062286,193.0,12.0,R,SRB,0.6666666666666666,0.7777777777777778,298.0,274.0,1.09
120,144750,Lloyd Harris,24.6652977413,193.0,31.0,R,RSA,0.68,0.803921568627451,62.0,55.0,1.13
121,200484,Rudolf Molleker,18.7351129363,,150.0,R,GER,0.5087719298245614,0.8275862068965517,4.0,10.0,0.4
122,111153,Christopher Eubanks,22.8665297741,,150.0,R,USA,0.8160919540229885,0.7323943661971831,5.0,17.0,0.29
123,105882,Stefano Travaglia,29.144421629,185.0,60.0,R,ITA,0.5402298850574713,0.7446808510638298,26.0,48.0,0.54
124,104563,Luca Vanni,29.9329226557,,100.0,R,ITA,0.6,0.8787878787878788,5.0,18.0,0.28
125,105967,Henri Laaksonen,27.2881587953,185.0,93.0,R,SUI,0.6352941176470588,0.7407407407407407,46.0,61.0,0.75
126,106216,Bjorn Fratangelo,22.8446269678,,103.0,R,USA,0.5714285714285714,0.6911764705882353,22.0,38.0,0.58
127,105147,Tatsuma Ito,24.4106776181,180.0,63.0,R,JPN,0.475,0.6842105263157895,36.0,66.0,0.55
